Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"67, 2020.11.18, 10",67,10,2020.11.18,600,jordao006,Ainceer,1166,1169,Black,1169,Black,1,41,69.07,82.72,50.08,74.81,17,8,1,3,0,1,11,1,71.62,80.52,60.27,74.25,16,10,1,3,0,1,10,1,71.62,80.52,60.27,74.25,16,10,1,3,0,1,11,1
"68, 2020.11.18, 10",68,10,2020.11.18,600,Darloval,Ainceer,1153,1177,Black,1177,Black,1,32,65.12,78.4,61.76,54.2,12,4,1,3,1,4,7,2,71.67,71.8,54.86,90.01,16,3,2,2,0,0,9,1,71.67,71.8,54.86,90.01,16,3,2,2,0,0,7,1
"69, 2020.11.18, 10",69,10,2020.11.18,600,Ainceer,NotRemyRoth,1186,1207,White,1186,White,1,43.5,83.06,78.03,83.16,88.34,22,5,7,2,4,0,4,0,76.37,73.26,86.93,69.16,14,11,3,4,2,4,5,2,83.06,78.03,83.16,88.34,22,5,7,2,4,0,4,0
"70, 2020.11.18, 10",70,10,2020.11.18,600,Ainceer,mica205,1179,1232,White,1179,Black,0,31,58.5,68.7,44.79,61,11,4,0,2,2,1,11,1,63.4,77.16,52.42,59.22,10,4,3,0,4,2,8,1,58.5,68.7,44.79,61,11,4,0,2,2,1,11,1
"71, 2020.11.19, 10",71,10,2020.11.19,600,Karoly54,Ainceer,1173,1171,Black,1171,White,0,13.5,83.9,99.53,80.94,68.08,6,4,0,2,1,0,1,2,54.03,61.74,65.06,33.38,3,2,1,0,1,1,5,2,54.03,61.74,65.06,33.38,3,2,1,0,1,1,1,2
"72, 2020.11.19, 10",72,10,2020.11.19,600,BBongo,Ainceer,1146,1162,Black,1162,White,0,21.5,80.58,70.28,89.1,83.83,11,4,1,1,1,2,2,0,74.03,78.37,85.06,58.67,9,6,0,0,0,1,5,2,74.03,78.37,85.06,58.67,9,6,0,0,0,1,2,2
"73, 2020.11.19, 10",73,10,2020.11.19,600,painter000,Ainceer,1205,1155,Black,1155,White,0,4.5,90.57,98.6,77.82,100,1,3,0,1,0,0,0,1,46.54,79.18,27.8,0,0,0,1,1,0,1,1,2,46.54,79.18,27.8,0,0,0,1,1,0,1,0,2
"74, 2020.11.19, 10",74,10,2020.11.19,600,Ainceer,gogipk,1162,1113,White,1162,White,1,28.5,77.15,81.94,65.16,85.16,12,6,2,2,1,1,5,1,58.11,75.91,48.72,47.72,8,3,1,3,3,2,8,2,77.15,81.94,65.16,85.16,12,6,2,2,1,1,5,1
"75, 2020.11.19, 10",75,10,2020.11.19,600,Ainceer,harnishparmar,1154,1172,White,1154,Black,0,12,71.92,94.31,92.28,29.17,4,3,2,0,0,0,3,2,89.35,95.2,97.59,75.26,4,6,1,0,0,0,1,2,71.92,94.31,92.28,29.17,4,3,2,0,0,0,3,2
"76, 2020.11.19, 10",76,10,2020.11.19,600,mdowd,Ainceer,1176,1146,Black,1146,White,0,17.5,84,87.3,91.4,73.29,7,4,3,1,1,1,1,2,69.7,91.51,86.51,23.35,6,2,3,1,1,1,3,2,69.7,91.51,86.51,23.35,6,2,3,1,1,1,1,2
"77, 2020.11.19, 10",77,10,2020.11.19,600,Ainceer,abujameel,1154,1125,White,1154,White,1,52.5,64.77,73.92,47.97,72.87,18,7,4,4,4,2,14,1,69.47,77.85,59.17,70.88,21,11,1,2,3,2,12,1,64.77,73.92,47.97,72.87,18,7,4,4,4,2,14,1
"78, 2020.11.19, 10",78,10,2020.11.19,600,yojoen,Ainceer,1189,1163,Black,1163,Black,1,39,77.41,84.69,73.33,74.22,16,10,3,2,0,0,8,1,87.44,87.99,82.32,92.02,23,7,4,0,1,0,4,1,87.44,87.99,82.32,92.02,23,7,4,0,1,0,8,1
"79, 2020.11.19, 10",79,10,2020.11.19,600,Ainceer,Crown_23,1163,1127,White,1163,Draw,0,6.5,89.63,94.95,71.29,100,5,0,1,0,1,0,0,1,39.42,24.56,43.68,50.04,1,0,1,0,1,0,3,0,89.63,94.95,71.29,100,5,0,1,0,1,0,0,1
"80, 2020.11.19, 10",80,10,2020.11.19,600,Crown_23,Ainceer,1127,1163,Black,1163,White,0,37.5,73.67,86.42,58.35,76.47,13,9,1,2,7,0,6,1,71.64,63.89,61.91,89.77,19,2,2,4,1,0,9,1,71.64,63.89,61.91,89.77,19,2,2,4,1,0,6,1
"81, 2020.11.19, 10",81,10,2020.11.19,600,Ainceer,Crown_23,1163,1127,White,1163,White,1,59.5,75.58,75.14,69.42,82.16,31,8,1,3,3,5,9,1,65.91,52.83,69.74,75.64,20,10,3,4,5,3,14,0,75.58,75.14,69.42,82.16,31,8,1,3,3,5,9,1
