Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"3490, 2021.08.08, 10",3490,10,2021.08.08,180,PanPionek,Ainceer,1144,1119,Black,1119,Draw,0,31,63.72,84.34,54.61,50.15,8,9,0,3,0,2,9,2,66.55,87.62,59.76,50.16,12,6,1,1,1,2,8,2,66.55,87.62,59.76,50.16,12,6,1,1,1,2,9,2
"3491, 2021.08.08, 10",3491,10,2021.08.08,180,Ainceer,AlePech2115,1111,1109,White,1111,Black,0,52,72.12,73.15,77.75,65.41,21,8,5,4,1,2,11,2,78.16,63.08,88.11,84.18,19,15,2,5,2,0,9,0,72.12,73.15,77.75,65.41,21,8,5,4,1,2,11,2
"3492, 2021.08.08, 10",3492,10,2021.08.08,180,marianorodriguez48,Ainceer,1101,1103,Black,1103,White,0,18,92.06,92.48,94.49,89.23,5,7,3,3,0,0,0,2,78.51,96.14,96.03,43.37,8,4,0,2,1,0,3,2,78.51,96.14,96.03,43.37,8,4,0,2,1,0,0,2
"3493, 2021.08.08, 10",3493,10,2021.08.08,180,Ainceer,Abdoun88,1094,1077,White,1094,Black,0,32.5,69.67,83.3,55.38,70.32,13,6,3,1,1,0,9,1,73.61,88.23,53.96,79.14,15,4,3,2,0,2,6,1,69.67,83.3,55.38,70.32,13,6,3,1,1,0,9,1
"3494, 2021.08.08, 10",3494,10,2021.08.08,600,Ainceer,Nyayna,1407,1344,White,1407,White,1,37.5,85.74,96.37,81.71,78.59,19,8,2,4,2,0,3,2,81.38,77.79,83.48,83.18,14,9,3,5,1,1,4,0,85.74,96.37,81.71,78.59,19,8,2,4,2,0,3,2
"3495, 2021.08.08, 10",3495,10,2021.08.08,600,Ainceer,Ethansir,1415,1382,White,1415,White,1,26.5,81.7,91.51,76.02,77.56,11,6,2,3,2,1,2,1,66.97,66.05,60.59,75.17,9,7,0,1,1,1,7,1,81.7,91.51,76.02,77.56,11,6,2,3,2,1,2,1
"3496, 2021.08.08, 10",3496,10,2021.08.08,600,tumen5541,Ainceer,1449,1424,Black,1424,Black,1,61,74.52,79.17,82.97,61.19,24,11,6,4,1,4,11,2,86.34,88.56,75.3,95.06,37,9,3,4,1,2,5,1,86.34,88.56,75.3,95.06,37,9,3,4,1,2,11,1
"3497, 2021.08.08, 10",3497,10,2021.08.08,600,GulaschOida,Ainceer,1444,1433,Black,1433,Black,1,17,68.33,88.68,66.86,45.69,5,3,1,3,0,2,3,2,92.23,99.77,78.21,100,12,3,0,1,0,0,1,1,92.23,99.77,78.21,100,12,3,0,1,0,0,3,1
"3498, 2021.08.08, 10",3498,10,2021.08.08,600,axilleasanastash,Ainceer,1380,1440,Black,1440,Black,1,52,75.56,76.69,87,62.93,22,11,0,6,2,3,8,2,85.76,81.24,86.81,89.5,31,10,0,2,3,2,4,0,85.76,81.24,86.81,89.5,31,10,0,2,3,2,8,0
"3499, 2021.08.08, 10",3499,10,2021.08.08,180,MrTom2021,Ainceer,1118,1086,Black,1086,White,0,16.5,90.23,92.1,96.9,79.99,8,5,2,1,0,0,1,2,77.37,98.3,90.89,38.75,6,6,0,0,1,0,3,2,77.37,98.3,90.89,38.75,6,6,0,0,1,0,1,2
"3500, 2021.08.08, 10",3500,10,2021.08.08,180,Ainceer,mohitmunde,1095,1121,White,1095,White,1,39.5,70.1,74.21,55.67,80.11,18,7,2,0,2,0,11,1,60.04,59.6,58.75,61.79,12,4,3,4,1,3,12,1,70.1,74.21,55.67,80.11,18,7,2,0,2,0,11,1
"3501, 2021.08.08, 10",3501,10,2021.08.08,180,Ainceer,TSUKAT,1102,1064,White,1102,White,1,23.5,66.11,73.43,64.9,60.01,9,2,3,2,1,0,7,2,65.18,83.48,49.99,61.63,7,6,0,2,0,2,6,1,66.11,73.43,64.9,60.01,9,2,3,2,1,0,7,2
"3502, 2021.08.08, 10",3502,10,2021.08.08,180,Ainceer,Wounka,1095,1156,White,1095,Black,0,17,70.34,98.94,83.35,20.42,6,5,0,0,1,1,4,2,89.37,98.28,75.17,95.73,6,7,1,2,0,0,1,1,70.34,98.94,83.35,20.42,6,5,0,0,1,1,4,2
"3503, 2021.08.08, 10",3503,10,2021.08.08,180,vikram1251,Ainceer,1055,1102,Black,1102,Black,1,32,58.55,90.69,56.73,25.2,8,7,2,2,0,2,11,2,73.67,87.48,78.75,52.9,11,9,1,3,1,1,6,2,73.67,87.48,78.75,52.9,11,9,1,3,1,1,11,2
"3504, 2021.08.08, 10",3504,10,2021.08.08,180,egismatas,Ainceer,1061,1109,Black,1109,Black,1,30,59.42,81.92,32.1,64.25,6,4,3,4,3,3,7,1,82.14,89.79,59.81,96.82,17,6,0,2,0,1,4,1,82.14,89.79,59.81,96.82,17,6,0,2,0,1,7,1
"3505, 2021.08.08, 10",3505,10,2021.08.08,180,Ainceer,ajay27324,1101,1134,White,1101,Black,0,3,96.37,100,89.12,100,2,0,1,0,0,0,0,1,80.18,71.06,69.48,100,1,0,0,2,0,0,0,1,96.37,100,89.12,100,2,0,1,0,0,0,0,1
"3506, 2021.08.08, 10",3506,10,2021.08.08,600,obdient,Ainceer,974,1441,Black,1441,Black,1,76,69.43,63.57,72.18,72.79,31,11,4,7,3,5,15,0,74.55,58.35,80.14,85.8,28,24,0,1,7,3,13,0,74.55,58.35,80.14,85.8,28,24,0,1,7,3,15,0
"3507, 2021.08.08, 10",3507,10,2021.08.08,600,Ainceer,obdient,1442,973,White,1442,White,1,45.5,69.56,66.13,56.34,86.44,14,10,5,1,5,1,10,1,74.07,77.04,68.12,77.05,18,8,3,4,3,1,8,1,69.56,66.13,56.34,86.44,14,10,5,1,5,1,10,1
"3508, 2021.08.09, 10",3508,10,2021.08.09,180,Ainceer,Pchizer,1108,1036,White,1108,White,1,23.5,88.73,93.61,78.33,94.26,12,4,3,4,0,0,1,1,65.43,97.06,45.16,52.46,6,7,1,1,1,0,7,1,88.73,93.61,78.33,94.26,12,4,3,4,0,0,1,1
"3509, 2021.08.09, 10",3509,10,2021.08.09,180,SinceZz,Ainceer,1095,1099,Black,1099,White,0,16.5,79.99,96.31,67.18,75.78,7,4,0,3,1,0,2,1,73.11,90.02,65.99,59.94,5,4,2,1,1,0,3,2,73.11,90.02,65.99,59.94,5,4,2,1,1,0,2,2
"3510, 2021.08.09, 10",3510,10,2021.08.09,180,jai28021979,Ainceer,1112,1107,Black,1107,Black,1,46,70.59,79.33,70.25,61.62,12,11,3,8,2,1,9,2,73.26,86.69,77.28,54.92,21,8,3,2,0,0,12,2,73.26,86.69,77.28,54.92,21,8,3,2,0,0,9,2
"3511, 2021.08.09, 10",3511,10,2021.08.09,180,power143,Ainceer,1145,1100,Black,1100,White,0,30.5,76.23,79.98,88.34,59.99,16,5,1,1,2,0,6,2,62.96,77.35,61.35,50.19,10,4,3,2,1,0,10,2,62.96,77.35,61.35,50.19,10,4,3,2,1,0,6,2
"3512, 2021.08.09, 10",3512,10,2021.08.09,180,Ainceer,Joena_05,1106,1000,White,1106,White,1,44.5,71.06,86.19,62.57,64.41,17,4,8,3,3,0,10,1,57.44,73.83,47.19,50.88,12,8,1,2,6,0,15,1,71.06,86.19,62.57,64.41,17,4,8,3,3,0,10,1
"3513, 2021.08.09, 10",3513,10,2021.08.09,180,Ainceer,Morango1,1114,1095,White,1114,White,1,26.5,74.61,79.88,74.84,69.11,9,6,3,2,2,1,4,2,66.86,82.23,66.07,50.46,8,8,0,1,1,0,8,2,74.61,79.88,74.84,69.11,9,6,3,2,2,1,4,2
"3514, 2021.08.09, 10",3514,10,2021.08.09,180,Ainceer,mattagon1,1105,1115,White,1105,Black,0,39,65.6,81.95,59.81,55.06,16,4,4,1,1,1,12,2,63.53,70.09,54.18,66.3,12,6,3,4,0,3,11,1,65.6,81.95,59.81,55.06,16,4,4,1,1,1,12,2
"3515, 2021.08.09, 10",3515,10,2021.08.09,180,nandiniamogh,Ainceer,1051,1096,Black,1096,White,0,25,77.83,87.57,81.94,62.75,9,4,5,2,1,0,4,2,73.58,99.26,72.19,46.1,8,8,1,1,2,0,5,2,73.58,99.26,72.19,46.1,8,8,1,1,2,0,4,2
"3516, 2021.08.09, 10",3516,10,2021.08.09,180,Ainceer,saratov,1088,1118,White,1088,Black,0,15,63.02,79.1,68.03,41.94,3,6,0,0,1,0,5,2,66.82,72.35,48.67,79.43,3,5,1,2,0,0,4,1,63.02,79.1,68.03,41.94,3,6,0,0,1,0,5,2
"3517, 2021.08.09, 10",3517,10,2021.08.09,180,KetanD4,Ainceer,1170,1080,Black,1080,White,0,65.5,71.33,67.21,88.76,58.01,28,12,3,6,0,1,16,2,77.58,83.07,83.82,65.31,30,13,1,8,2,0,11,2,77.58,83.07,83.82,65.31,30,13,1,8,2,0,16,2
"3518, 2021.08.09, 10",3518,10,2021.08.09,180,Ainceer,SavageGoose,1082,1178,White,1082,Draw,0,73.5,78.65,80.13,68.97,87.2,36,10,6,5,5,3,9,1,77.85,72.23,81.26,80.29,36,14,1,7,1,2,12,0,78.65,80.13,68.97,87.2,36,10,6,5,5,3,9,1
"3519, 2021.08.09, 10",3519,10,2021.08.09,180,Ainceer,Lazydoingnothing,1091,1101,White,1091,White,1,26.5,75.24,93.91,59.8,72.02,10,7,1,3,1,0,5,1,65.99,70.74,71.77,54.14,8,3,3,3,3,0,6,2,75.24,93.91,59.8,72.02,10,7,1,3,1,0,5,1
"3520, 2021.08.09, 10",3520,10,2021.08.09,180,moncu2003,Ainceer,1014,1097,Black,1097,Black,1,26,82.9,93.15,92.35,60.73,8,10,3,1,1,0,3,2,80.01,88.54,92.41,56.47,9,8,2,3,0,1,3,2,80.01,88.54,92.41,56.47,9,8,2,3,0,1,3,2
"3521, 2021.08.09, 10",3521,10,2021.08.09,180,Ainceer,moncu2003,1103,1006,White,1103,White,1,19.5,84.57,97.13,89.41,64.27,9,7,1,0,1,0,2,2,75.44,95.13,95.81,32.12,8,4,3,0,0,0,4,2,84.57,97.13,89.41,64.27,9,7,1,0,1,0,2,2
"3522, 2021.08.09, 10",3522,10,2021.08.09,180,Svkry,Ainceer,1168,1113,Black,1113,Black,1,10,40.52,52.1,62.81,2.79,1,1,1,1,1,0,5,2,96.87,94.22,97.27,100,7,2,1,0,0,0,0,0,96.87,94.22,97.27,100,7,2,1,0,0,0,5,0
"3523, 2021.08.09, 10",3523,10,2021.08.09,180,reza_kordeh888,Ainceer,1162,1122,Black,1122,Black,1,62,73.15,78.99,73.92,66.21,20,14,4,7,5,3,9,2,78.96,81.8,86.82,67.72,24,13,6,6,4,2,7,2,78.96,81.8,86.82,67.72,24,13,6,6,4,2,9,2
"3524, 2021.08.09, 10",3524,10,2021.08.09,180,Ainceer,reecerulz4,1131,1135,White,1131,White,1,47.5,70.15,80.32,59.92,70.21,15,8,5,7,2,1,10,1,71.13,88.06,58.05,67.01,18,10,1,5,2,1,10,1,70.15,80.32,59.92,70.21,15,8,5,7,2,1,10,1
"3525, 2021.08.09, 10",3525,10,2021.08.09,180,CaptainShamwow,Ainceer,1098,1138,Black,1138,Black,1,32,69.59,80.71,65.98,61.32,12,6,1,3,0,3,7,2,76.3,95.66,78.3,52.79,15,4,2,3,2,1,5,2,76.3,95.66,78.3,52.79,15,4,2,3,2,1,7,2
"3526, 2021.08.09, 10",3526,10,2021.08.09,180,Fabien20,Ainceer,1160,1130,Black,1130,White,0,20.5,85.14,95.45,83.08,76.91,9,7,2,0,1,0,2,2,65.61,98.01,55.87,39.17,5,6,1,1,0,1,6,2,65.61,98.01,55.87,39.17,5,6,1,1,0,1,2,2
"3527, 2021.08.09, 10",3527,10,2021.08.09,180,Ainceer,BierPlayer,1123,1160,White,1123,Black,0,27,71.03,90.39,71.52,51.16,9,5,2,2,3,2,4,2,80.49,82.08,82.22,77.18,9,8,3,2,2,0,3,2,71.03,90.39,71.52,51.16,9,5,2,2,3,2,4,2
"3528, 2021.08.09, 10",3528,10,2021.08.09,180,Ainceer,mptesq,1122,1101,White,1122,Draw,0,49,71.64,89.05,72.13,52.65,16,13,3,4,0,1,12,2,69.85,67.97,71.33,70.39,16,6,9,4,1,4,9,0,71.64,89.05,72.13,52.65,16,13,3,4,0,1,12,2
"3529, 2021.08.09, 10",3529,10,2021.08.09,180,Ainceer,Kovawe172,1114,1139,White,1114,Black,0,41,86.94,97.84,82.42,80.05,20,12,1,3,1,0,4,2,93.47,96.24,92.62,91.42,22,12,2,2,2,1,0,2,86.94,97.84,82.42,80.05,20,12,1,3,1,0,4,2
"3530, 2021.08.09, 10",3530,10,2021.08.09,180,Ainceer,GebDaukas,1122,1127,White,1122,White,1,45.5,75.4,79.22,87.75,58.98,21,7,1,6,2,0,9,2,64.91,63.32,59.71,71.69,15,6,1,6,5,2,10,1,75.4,79.22,87.75,58.98,21,7,1,6,2,0,9,2
"3531, 2021.08.09, 10",3531,10,2021.08.09,180,Doug807,Ainceer,1100,1130,Black,1130,Black,1,30,57.45,85.96,32.52,53.85,7,3,2,6,2,0,10,1,77.57,92.79,72.71,67.21,14,5,1,3,2,1,4,2,77.57,92.79,72.71,67.21,14,5,1,3,2,1,10,2
"3532, 2021.08.09, 10",3532,10,2021.08.09,180,itayk99,Ainceer,1135,1138,Black,1138,Black,1,54,82.4,81.9,67.77,97.52,23,11,6,5,3,0,6,1,82.14,89.51,69.68,87.22,28,10,2,4,4,0,6,1,82.14,89.51,69.68,87.22,28,10,2,4,4,0,6,1
"3533, 2021.08.09, 10",3533,10,2021.08.09,180,Ainceer,UnraisedLime,1130,1145,White,1130,Black,0,11.5,60.9,95.17,73.48,14.05,3,3,1,0,1,0,4,2,77.65,87.27,71.07,73.59,3,3,2,1,0,0,2,1,60.9,95.17,73.48,14.05,3,3,1,0,1,0,4,2
"3534, 2021.08.09, 10",3534,10,2021.08.09,180,stefanuorsoni,Ainceer,1088,1137,Black,1137,Black,1,57,74.72,80.58,58.65,84.94,16,13,7,4,5,5,7,1,78.98,78.52,87.17,71.25,22,11,7,5,4,0,8,2,78.98,78.52,87.17,71.25,22,11,7,5,4,0,7,2
"3535, 2021.08.09, 10",3535,10,2021.08.09,180,Ainceer,kfoos99,1144,1067,White,1144,White,1,46.5,78.49,89.15,74.23,71.66,22,7,2,7,2,0,7,2,77.03,82.54,73.62,74.58,20,10,2,3,3,0,8,1,78.49,89.15,74.23,71.66,22,7,2,7,2,0,7,2
"3536, 2021.08.09, 10",3536,10,2021.08.09,180,marnixroseboom,Ainceer,1199,1137,Black,1137,White,0,29.5,69.05,69.48,77.16,60.51,11,6,1,0,4,2,6,2,60.01,76.07,58.81,43.51,9,2,3,3,4,0,8,2,60.01,76.07,58.81,43.51,9,2,3,3,4,0,6,2
"3537, 2021.08.09, 10",3537,10,2021.08.09,180,igaKlasinc,Ainceer,1126,1145,Black,1145,Black,1,48,69.96,88.85,68.92,52.1,20,8,2,4,1,2,11,2,72.44,80.71,73.27,63.35,20,10,1,4,1,2,10,2,72.44,80.71,73.27,63.35,20,10,1,4,1,2,11,2
"3538, 2021.08.09, 10",3538,10,2021.08.09,180,Ainceer,Gabriola27,1153,1132,White,1153,White,1,43.5,75.38,65.11,62.7,99.98,18,12,1,1,3,0,9,1,61.29,69.66,46.86,66.75,19,5,1,0,0,3,15,1,75.38,65.11,62.7,99.98,18,12,1,1,3,0,9,1
"3539, 2021.08.09, 10",3539,10,2021.08.09,180,MaitreMoulax,Ainceer,1209,1146,Black,1146,White,0,19.5,87.59,95.46,91.68,73.64,10,5,1,1,2,1,0,2,82.91,96.26,58.41,91.84,9,3,3,1,1,0,2,1,82.91,96.26,58.41,91.84,9,3,3,1,1,0,0,1
"3540, 2021.08.09, 10",3540,10,2021.08.09,180,Ainceer,AsisAg,1138,1139,White,1138,Black,0,18,64.69,66.67,66.38,61.03,8,1,1,1,1,1,5,2,78.71,82.95,57.41,95.77,9,3,0,3,0,0,3,1,64.69,66.67,66.38,61.03,8,1,1,1,1,1,5,2
"3541, 2021.08.09, 10",3541,10,2021.08.09,180,Ainceer,Boulahh,1146,1143,White,1146,White,1,37.5,72.17,86.84,72.25,56.21,12,9,3,3,3,1,7,2,69.16,86.56,70.67,48.8,16,6,1,2,3,0,9,2,72.17,86.84,72.25,56.21,12,9,3,3,3,1,7,2
"3542, 2021.08.10, 10",3542,10,2021.08.10,180,xstof50,Ainceer,1175,1139,Black,1139,White,0,20.5,78.72,99.38,68.06,68.7,10,5,0,2,0,0,4,1,68.98,94.75,65.89,42.53,7,5,0,1,2,1,4,2,68.98,94.75,65.89,42.53,7,5,0,1,2,1,4,2
"3543, 2021.08.10, 10",3543,10,2021.08.10,180,Ainceer,livadi67,1147,1116,White,1147,White,1,13.5,92.95,98.86,99.16,77.79,10,3,0,0,0,0,1,2,65.2,71.73,65.3,56.95,2,2,2,1,3,2,1,2,92.95,98.86,99.16,77.79,10,3,0,0,0,0,1,2
"3544, 2021.08.10, 10",3544,10,2021.08.10,180,Braitou,Ainceer,1098,1138,Black,1138,White,0,31.5,66.58,85.19,53.54,60.44,9,7,2,2,1,3,8,1,62.02,77.11,52.35,55.1,6,7,2,2,5,2,7,1,62.02,77.11,52.35,55.1,6,7,2,2,5,2,8,1
"3545, 2021.08.10, 10",3545,10,2021.08.10,180,Fawkes_Hp,Ainceer,1095,1145,Black,1145,Black,1,49,60.9,69.83,40.07,72.23,11,13,3,2,1,2,17,1,61.23,64.7,54.58,64.2,14,9,0,6,3,2,15,1,61.23,64.7,54.58,64.2,14,9,0,6,3,2,17,1
"3546, 2021.08.10, 10",3546,10,2021.08.10,180,muadaptin,Ainceer,1148,1153,Black,1153,Black,1,22,57.65,72.14,53.7,45.05,7,3,1,1,0,2,8,2,59.82,57.78,50.54,71.43,7,3,2,0,2,1,7,1,59.82,57.78,50.54,71.43,7,3,2,0,2,1,8,1
"3547, 2021.08.10, 10",3547,10,2021.08.10,180,Ainceer,jeangrammos,1161,1164,White,1161,White,1,62.5,73.16,75.66,74.91,68.91,24,16,3,3,1,2,14,2,74.86,73.39,69.86,81.65,24,17,3,2,2,1,13,1,73.16,75.66,74.91,68.91,24,16,3,3,1,2,14,2
"3548, 2021.08.10, 10",3548,10,2021.08.10,180,matt_chess_play,Ainceer,1146,1152,Black,1152,White,0,27.5,86.11,98.65,71.2,87.1,12,9,2,2,0,0,3,1,78.44,99.18,69.58,66.56,16,4,1,0,1,0,5,2,78.44,99.18,69.58,66.56,16,4,1,0,1,0,3,2
"3549, 2021.08.10, 10",3549,10,2021.08.10,180,Ainceer,Lostworldleader,1159,1108,White,1159,White,1,28.5,73.39,79.85,64.74,75.84,12,6,3,1,0,0,7,1,70.37,81.48,81.04,47.37,11,5,1,3,1,1,6,2,73.39,79.85,64.74,75.84,12,6,3,1,0,0,7,1
"3550, 2021.08.10, 10",3550,10,2021.08.10,180,KirillGreen,Ainceer,1206,1168,Black,1168,Black,1,42,70.1,87.53,57.62,65.14,14,10,1,3,2,3,9,1,75.97,95.87,68.18,63.85,20,10,1,1,1,0,9,2,75.97,95.87,68.18,63.85,20,10,1,1,1,0,9,2
"3551, 2021.08.10, 10",3551,10,2021.08.10,180,Ainceer,Hars1999,1176,1170,White,1176,White,1,40.5,63.05,90.04,38.11,60.84,13,7,1,4,2,3,11,1,58.76,76.09,61.58,37.27,13,4,3,3,2,1,14,2,63.05,90.04,38.11,60.84,13,7,1,4,2,3,11,1
"3552, 2021.08.10, 10",3552,10,2021.08.10,180,acbazanji,Ainceer,1148,1184,Black,1184,Black,1,42,69.51,81.4,56.93,70.2,18,4,2,5,2,1,10,1,67.4,76.16,74.7,51.34,13,8,3,4,2,2,10,2,67.4,76.16,74.7,51.34,13,8,3,4,2,2,10,2
"3553, 2021.08.10, 10",3553,10,2021.08.10,180,Ainceer,Yoda44460,1176,1208,White,1176,Black,0,26,70.18,95.09,71.17,41.06,5,10,1,2,1,2,5,2,65.15,85.4,80.91,24.64,7,4,1,6,1,1,6,2,70.18,95.09,71.17,41.06,5,10,1,2,1,2,5,2
"3554, 2021.08.10, 10",3554,10,2021.08.10,180,Ainceer,triggerfish217,1184,1149,White,1184,White,1,56.5,73.79,81.57,56.08,83.72,22,13,5,2,1,2,12,1,64.16,71.12,38.77,83.61,17,13,1,2,3,3,17,1,73.79,81.57,56.08,83.72,22,13,5,2,1,2,12,1
"3555, 2021.08.10, 10",3555,10,2021.08.10,180,ginesmh,Ainceer,1285,1178,Black,1178,White,0,32.5,75.47,90.44,71.3,64.67,15,8,2,0,0,0,8,2,74.07,97.28,51.16,73.74,17,5,0,1,1,1,7,1,74.07,97.28,51.16,73.74,17,5,0,1,1,1,8,1
"3556, 2021.08.10, 10",3556,10,2021.08.10,180,Ainceer,ginesmh,1172,1291,White,1172,Black,0,25,69.4,90.25,76.74,38.61,8,4,2,3,3,0,5,2,74.61,91.68,60.9,69.1,7,6,3,3,1,1,4,1,69.4,90.25,76.74,38.61,8,4,2,3,3,0,5,2
"3557, 2021.08.10, 10",3557,10,2021.08.10,180,TheLanklord,Ainceer,1226,1165,Black,1165,White,0,28.5,78.06,95.48,61.86,76.7,11,9,1,2,0,1,5,1,72.05,97.38,60.29,55.66,16,2,1,1,0,1,7,2,72.05,97.38,60.29,55.66,16,2,1,1,0,1,5,2
"3558, 2021.08.10, 10",3558,10,2021.08.10,180,Ainceer,Piraide,1172,1117,White,1172,White,1,43.5,77.73,83.31,72.05,77.84,13,12,4,6,3,0,6,1,75.25,85.64,54.53,84.85,16,14,2,0,0,0,11,1,77.73,83.31,72.05,77.84,13,12,4,6,3,0,6,1
"3559, 2021.08.10, 10",3559,10,2021.08.10,180,Hazzief,Ainceer,1093,1162,Black,1162,White,0,20.5,85.51,95.14,95.94,65.47,8,7,1,2,1,1,1,2,80.03,91.05,94.88,49.86,4,10,1,2,0,0,3,2,80.03,91.05,94.88,49.86,4,10,1,2,0,0,1,2
"3560, 2021.08.10, 10",3560,10,2021.08.10,180,Maverick1706,Ainceer,1177,1154,Black,1154,White,0,22.5,74.74,92.8,71.15,58.19,5,8,2,3,0,1,4,2,74.39,93.04,84.5,42.97,7,5,4,1,0,1,4,2,74.39,93.04,84.5,42.97,7,5,4,1,0,1,4,2
"3561, 2021.08.10, 10",3561,10,2021.08.10,180,gliese581g,Ainceer,1132,1145,Black,1145,White,0,20.5,82.6,88.91,73.18,85.71,12,5,0,0,0,1,3,1,66.46,87.91,71.26,35.82,8,2,0,2,4,0,4,2,66.46,87.91,71.26,35.82,8,2,0,2,4,0,3,2
"3562, 2021.08.10, 10",3562,10,2021.08.10,180,Ainceer,MFS29122017,1154,1162,White,1154,White,1,12.5,68.17,94.96,33.65,69.22,4,3,1,1,0,1,3,1,50.55,75.12,33.52,43.02,3,1,1,1,0,1,5,1,68.17,94.96,33.65,69.22,4,3,1,1,0,1,3,1
"3563, 2021.08.10, 10",3563,10,2021.08.10,180,PulsarStargrave,Ainceer,1147,1162,Black,1162,Black,1,44.5,62.9,76.71,62.11,49.87,13,9,2,1,7,0,13,2,69.39,79.2,70.92,57.24,20,7,1,2,1,1,12,2,69.39,79.2,70.92,57.24,20,7,1,2,1,1,13,2
"3564, 2021.08.10, 10",3564,10,2021.08.10,180,Ainceer,TheBrooklynMangono,1170,1146,White,1170,White,1,23,80.6,87.83,85.15,67.13,9,6,1,0,4,3,0,2,63.3,84.39,44.95,60.16,5,5,1,2,3,2,5,1,80.6,87.83,85.15,67.13,9,6,1,0,4,3,0,2
"3565, 2021.08.10, 10",3565,10,2021.08.10,180,Ainceer,drSupernova,1163,1208,White,1163,Black,0,18.5,77.46,89.92,63.95,76.43,7,3,3,1,2,0,3,1,72.51,97.31,68.51,51.71,6,6,1,0,0,1,4,2,77.46,89.92,63.95,76.43,7,3,3,1,2,0,3,1
"3566, 2021.08.10, 10",3566,10,2021.08.10,180,Felmouze,Ainceer,1108,1170,Black,1170,Black,1,26,61.75,83.47,66.49,31.99,8,3,1,4,1,1,8,2,80.87,80.3,89.9,71.33,10,7,2,3,0,1,3,2,80.87,80.3,89.9,71.33,10,7,2,3,0,1,8,2
"3567, 2021.08.10, 10",3567,10,2021.08.10,180,Ainceer,Clashos,1177,1135,White,1177,White,1,23.5,77.95,78.37,72.13,83.36,11,5,1,0,3,1,3,1,67,84.78,56.28,58.95,6,8,0,1,1,1,6,1,77.95,78.37,72.13,83.36,11,5,1,0,3,1,3,1
"3568, 2021.08.10, 10",3568,10,2021.08.10,180,Ainceer,pynchmeister,1187,1242,White,1187,White,1,53.5,80.55,80.48,78.26,82.89,25,11,4,2,4,0,8,1,67.79,73.64,77.44,51.38,18,5,3,7,8,4,8,2,80.55,80.48,78.26,82.89,25,11,4,2,4,0,8,1
"3569, 2021.08.10, 10",3569,10,2021.08.10,180,Delthion,Ainceer,1200,1179,Black,1179,White,0,59,70.44,69.26,65.58,76.79,24,11,2,4,3,2,13,1,68.7,72.42,65.6,68.05,25,7,2,5,3,4,13,1,68.7,72.42,65.6,68.05,25,7,2,5,3,4,13,1
"3570, 2021.08.10, 10",3570,10,2021.08.10,180,Ainceer,AaronHC,1187,1173,White,1187,White,1,22.5,78,70.24,76.48,88.6,4,7,4,2,3,2,1,0,69.17,64.2,86.76,57.26,4,7,1,3,1,3,3,2,78,70.24,76.48,88.6,4,7,4,2,3,2,1,0
"3571, 2021.08.10, 10",3571,10,2021.08.10,180,ThaParanoid,Ainceer,1166,1186,Black,1186,Draw,0,57,70.61,71.27,72.89,67.67,29,6,3,2,0,2,15,2,63.62,74.92,43.48,72.44,15,10,6,6,3,0,17,1,63.62,74.92,43.48,72.44,15,10,6,6,3,0,15,1
"3572, 2021.08.10, 10",3572,10,2021.08.10,180,My_name_is_win,Ainceer,1100,1176,Black,1176,White,0,22.5,67.51,85.39,70.41,43.75,7,4,2,2,2,1,5,2,55,80.76,57.07,23.49,6,3,2,0,2,1,8,2,55,80.76,57.07,23.49,6,3,2,0,2,1,5,2
"3573, 2021.08.10, 10",3573,10,2021.08.10,180,Ainceer,chrisantosiewicz,1175,1144,White,1175,Draw,0,27,89.87,94.19,91.63,83.78,10,12,2,1,0,1,1,2,85.56,93.67,86.25,76.77,10,8,3,4,0,0,2,2,89.87,94.19,91.63,83.78,10,12,2,1,0,1,1,2
"3574, 2021.08.10, 10",3574,10,2021.08.10,180,Jjknopf,Ainceer,1148,1183,Black,1183,Black,1,10,68.91,99.43,63.76,33.36,2,4,1,0,0,0,3,2,96.36,99.73,88.24,100,6,2,1,1,0,0,0,1,96.36,99.73,88.24,100,6,2,1,1,0,0,3,1
"3575, 2021.08.10, 10",3575,10,2021.08.10,180,dmalloy13,Ainceer,1187,1191,Black,1191,Black,1,18,77.78,95.96,68.15,69.24,7,5,0,2,0,1,3,1,84.92,99.82,71.61,83.32,10,4,0,1,1,0,2,1,84.92,99.82,71.61,83.32,10,4,0,1,1,0,3,1
"3576, 2021.08.10, 10",3576,10,2021.08.10,180,Pmantix,Ainceer,1256,1192,Black,1192,Draw,0,60.5,59.35,56.82,58.31,63.04,12,16,2,4,3,5,19,0,66.46,61.39,60.66,77.32,20,11,5,2,4,2,16,1,66.46,61.39,60.66,77.32,20,11,5,2,4,2,19,1
