Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
243,180,Ainceer,hosseindarban,819,805,White,819,White,True,18.5,58.54,83.8,54.26,33.35,4,3,2,2,0,1,7,2,46.05,79.51,39.22,19.42,2,4,1,0,2,0,9,2,58.54,83.8,54.26,33.35,4,3,2,2,0,1,7,2
244,180,hosseindarban,Ainceer,797,827,Black,827,Black,True,36.0,66.08,90.81,45.8,61.64,15,7,1,0,0,1,12,1,59.55,62.76,41.99,73.9,12,5,1,0,4,2,12,1,59.55,62.76,41.99,73.9,12,5,1,0,4,2,12,1
245,180,Ainceer,hosseindarban,818,806,White,818,Black,False,29.0,67.14,58.34,66.38,77.77,13,4,0,2,1,0,9,0,67.55,79.98,45.45,78.28,10,5,1,1,4,1,7,1,67.14,58.34,66.38,77.77,13,4,0,2,1,0,9,0
246,180,hosseindarban,Ainceer,814,810,Black,810,White,False,19.5,67.41,74.03,46.27,84.34,6,4,1,0,2,4,3,1,72.38,87.46,76.84,50.33,5,5,1,1,3,0,4,2,72.38,87.46,76.84,50.33,5,5,1,1,3,0,3,2
247,180,Ainceer,hosseindarban,818,806,White,818,White,True,30.5,70.79,68.97,68.65,74.95,10,9,3,0,1,0,8,1,66.74,73.83,46.08,80.33,11,3,2,3,3,0,8,1,70.79,68.97,68.65,74.95,10,9,3,0,1,0,8,1
248,180,hosseindarban,Ainceer,814,810,Black,810,White,False,27.5,57.55,77.89,42.41,50.1,6,5,2,1,2,2,10,1,54.58,83.82,51.27,28.65,5,4,2,2,4,0,10,2,54.58,83.82,51.27,28.65,5,4,2,2,4,0,10,2
249,180,Ainceer,MegaPenguen,801,794,White,801,Black,False,23.0,67.73,75.61,68.31,58.06,8,3,1,1,4,1,5,2,60.21,40.32,68.22,73.78,8,5,0,0,0,1,9,0,67.73,75.61,68.31,58.06,8,3,1,1,4,1,5,2
250,180,Crown_23,Ainceer,1240,801,Black,801,White,False,12.5,81.95,82.62,89.16,73.89,6,2,1,0,3,0,1,2,68.06,85.1,71.69,47.39,2,1,4,1,1,1,2,2,68.06,85.1,71.69,47.39,2,1,4,1,1,1,1,2
251,180,Ainceer,Crown_23,801,1240,White,801,White,True,33.5,77.33,80.97,64.63,86.06,10,12,3,1,1,1,6,1,70.11,73.35,58.52,78.46,7,12,2,1,2,1,8,1,77.33,80.97,64.63,86.06,10,12,3,1,1,1,6,1
252,180,Crown_23,Ainceer,1240,801,Black,801,Draw,False,1.0,100.0,100.0,0,0,1,0,0,0,0,0,0,2,98.21,98.21,0,0,0,1,0,0,0,0,0,2,98.21,98.21,0,0,0,1,0,0,0,0,0,2
253,180,Ainceer,Crown_23,801,1240,White,801,Black,False,30.0,71.11,73.95,49.74,89.65,11,5,3,2,2,0,7,1,84.21,96.92,67.46,88.23,14,7,1,2,3,0,3,1,71.11,73.95,49.74,89.65,11,5,3,2,2,0,7,1
254,180,Crown_23,Ainceer,1240,801,Black,801,White,False,44.0,74.42,75.66,70.21,77.6,21,7,2,1,1,3,9,1,80.1,77.61,70.69,92.84,18,12,1,5,0,2,6,1,80.1,77.61,70.69,92.84,18,12,1,5,0,2,9,1
255,180,Ainceer,Crown_23,801,1240,White,801,White,True,34.5,75.66,83.49,57.07,87.4,11,13,1,0,3,0,7,1,63.77,67.67,57.37,65.91,8,11,0,0,1,4,10,1,75.66,83.49,57.07,87.4,11,13,1,0,3,0,7,1
256,180,Crown_23,Ainceer,1240,801,Black,801,White,False,17.0,76.73,86.93,66.76,76.45,5,4,4,0,1,0,3,1,51.7,65.37,51.29,35.78,5,1,1,2,0,0,8,2,51.7,65.37,51.29,35.78,5,1,1,2,0,0,3,2
257,180,Ainceer,Crown_23,801,1240,White,801,Black,False,11.0,76.4,74.56,89.02,62.02,4,2,1,2,0,0,2,2,78.02,50.99,88.55,100.0,6,1,0,1,1,0,2,0,76.4,74.56,89.02,62.02,4,2,1,2,0,0,2,2
258,180,Crown_23,Ainceer,1240,801,Black,801,White,False,28.5,65.61,80.65,76.26,37.05,8,7,3,1,0,1,9,2,56.41,82.09,47.55,36.74,12,2,0,0,0,4,10,2,56.41,82.09,47.55,36.74,12,2,0,0,0,4,9,2
