Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
1994,180,Lipirov,Ainceer,1082,1108,Black,1108,White,False,59.5,81.05,87.35,75.16,80.64,25,16,2,1,5,5,6,1,73.46,92.21,62.56,65.19,21,11,3,3,5,7,9,1,73.46,92.21,62.56,65.19,21,11,3,3,5,7,6,1
1995,180,Ainceer,Laamaherra,1115,1051,White,1115,White,True,39.5,76.39,91.37,51.53,85.13,22,3,4,1,0,3,7,1,75.96,94.54,67.0,66.34,18,7,3,1,2,0,8,2,76.39,91.37,51.53,85.13,22,3,4,1,0,3,7,1
1996,180,Yanis93270,Ainceer,1119,1107,Black,1107,White,False,56.5,53.62,72.64,50.32,37.91,14,11,1,0,3,6,22,2,47.98,72.8,27.32,43.59,12,7,2,4,2,2,27,1,47.98,72.8,27.32,43.59,12,7,2,4,2,2,22,1
1997,180,manya1973,Ainceer,1117,1115,Black,1115,Black,True,38.0,78.18,95.95,54.02,85.11,14,9,4,2,1,1,7,1,79.83,89.26,56.2,95.23,20,8,2,0,1,0,7,1,79.83,89.26,56.2,95.23,20,8,2,0,1,0,7,1
1998,180,Ainceer,Ojas_mahalle,1107,1122,White,1107,Black,False,45.0,81.79,75.79,81.45,88.11,17,14,3,0,4,2,5,0,79.53,81.39,69.26,87.95,17,10,4,5,0,3,6,1,81.79,75.79,81.45,88.11,17,14,3,0,4,2,5,0
1999,180,Ainceer,laminthechessplayer,1116,1143,White,1116,White,True,39.0,68.36,76.79,62.17,66.12,10,9,0,1,9,3,7,1,68.45,64.68,70.93,69.75,14,7,2,1,4,1,10,0,68.36,76.79,62.17,66.12,10,9,0,1,9,3,7,1
2000,180,Ainceer,Barqi07,1124,1110,White,1124,White,True,16.5,79.2,84.76,72.89,80.08,5,4,2,2,1,2,1,1,66.31,82.86,62.72,50.05,3,4,2,1,1,1,4,2,79.2,84.76,72.89,80.08,5,4,2,2,1,2,1,1
2001,180,Ainceer,smokeygirl1414,1131,1078,White,1131,White,True,24.5,79.87,97.65,54.16,85.57,8,9,2,1,0,0,5,1,67.13,94.4,45.39,61.59,6,5,2,3,1,0,7,1,79.87,97.65,54.16,85.57,8,9,2,1,0,0,5,1
2002,180,otherguychris,Ainceer,1136,1123,Black,1123,White,False,40.5,62.3,84.16,33.91,69.33,12,8,4,0,2,1,14,1,61.72,91.21,47.28,44.4,13,8,1,1,2,1,14,2,61.72,91.21,47.28,44.4,13,8,1,1,2,1,14,2
2003,180,sean80211,Ainceer,1160,1116,Black,1116,White,False,20.5,71.45,91.97,59.74,62.64,5,6,3,0,1,1,5,1,65.17,95.58,45.64,52.47,2,7,0,3,1,1,6,1,65.17,95.58,45.64,52.47,2,7,0,3,1,1,5,1
2004,180,Ainceer,eternoaprendiz9,1106,1046,White,1106,Black,False,14.0,65.86,93.8,66.72,29.87,2,4,2,1,1,0,4,2,54.14,89.64,20.0,52.43,4,2,1,0,1,0,6,1,65.86,93.8,66.72,29.87,2,4,2,1,1,0,4,2
2005,180,Johanntjie,Ainceer,1190,1100,Black,1100,White,False,23.5,76.2,84.1,67.37,77.13,10,5,1,1,1,2,4,1,61.6,77.08,43.61,64.48,9,2,1,0,1,3,7,1,61.6,77.08,43.61,64.48,9,2,1,0,1,3,4,1
