[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-11-27 22:56:07 |175
[INFO user_analysis] | 2020-11-28 20:24:59 |176
[INFO user_analysis] | 2020-11-30 22:47:51 |177
[INFO user_analysis] | 2020-11-30 23:00:05 |178
[INFO user_analysis] | 2020-11-30 23:05:45 |179
[INFO user_analysis] | 2020-11-30 23:14:32 |180
[INFO user_analysis] | 2020-11-30 23:15:21 |181
[INFO user_analysis] | 2020-12-01 13:49:22 |182
[INFO user_analysis] | 2020-12-01 14:03:34 |183
[INFO user_analysis] | 2020-12-01 14:19:34 |184
[INFO user_analysis] | 2020-12-01 18:08:48 |185
[INFO user_analysis] | 2020-12-01 18:16:16 |186
[INFO user_analysis] | 2020-12-01 18:25:39 |187
[INFO user_analysis] | 2020-12-01 20:09:29 |188
[INFO user_analysis] | 2020-12-01 20:14:16 |189
[INFO user_analysis] | 2020-12-01 20:22:22 |190
[INFO user_analysis] | 2020-12-01 20:26:44 |191
[INFO user_analysis] | 2020-12-01 20:34:49 |192
[INFO user_analysis] | 2020-12-01 20:35:51 |193
[INFO user_analysis] | 2020-12-02 18:54:12 |194
[INFO user_analysis] | 2020-12-02 18:59:09 |195
[INFO user_analysis] | 2020-12-02 21:34:54 |196
[INFO user_analysis] | 2020-12-02 21:41:27 |197
[INFO user_analysis] | 2020-12-02 21:47:22 |198
[INFO user_analysis] | 2020-12-02 21:52:09 |199
[INFO user_analysis] | 2020-12-02 21:55:13 |200
[INFO user_analysis] | 2020-12-02 22:00:50 |201
[INFO user_analysis] | 2020-12-02 22:09:26 |202
[INFO user_analysis] | 2020-12-02 22:10:38 |203
[INFO user_analysis] | 2020-12-02 22:13:51 |204
[INFO user_analysis] | 2020-12-02 23:09:35 |205
[INFO user_analysis] | 2020-12-02 23:11:10 |206
[INFO user_analysis] | 2020-12-03 17:56:53 |207
[INFO user_analysis] | 2020-12-03 18:00:59 |208
[INFO user_analysis] | 2020-12-03 18:08:18 |209
[INFO user_analysis] | 2020-12-04 20:07:23 |210
[INFO user_analysis] | 2020-12-04 20:13:17 |211
[INFO user_analysis] | 2020-12-04 20:29:37 |212
[INFO user_analysis] | 2020-12-04 22:02:11 |213
[INFO user_analysis] | 2020-12-04 22:05:22 |214
[INFO user_analysis] | 2020-12-04 22:10:42 |215
[INFO user_analysis] | 2020-12-04 22:31:15 |216
[INFO user_analysis] | 2020-12-06 10:49:35 |217
[INFO user_analysis] | 2020-12-06 10:51:12 |218
[INFO user_analysis] | 2020-12-06 10:53:36 |219
[INFO user_analysis] | 2020-12-06 10:57:45 |220
[INFO user_analysis] | 2020-12-06 12:13:14 |221
[INFO user_analysis] | 2020-12-06 12:19:31 |222
[INFO user_analysis] | 2020-12-06 12:20:40 |223
[INFO user_analysis] | 2020-12-06 12:21:14 |224
[INFO user_analysis] | 2020-12-06 12:24:50 |225
[INFO user_analysis] | 2020-12-06 12:30:18 |226
[INFO user_analysis] | 2020-12-06 12:35:46 |227
[INFO user_analysis] | 2020-12-06 12:37:10 |228
[INFO user_analysis] | 2020-12-06 12:38:47 |229
[INFO user_analysis] | 2020-12-06 12:43:58 |230
[INFO user_analysis] | 2020-12-06 12:48:51 |231
[INFO user_analysis] | 2020-12-06 12:50:42 |232
[INFO user_analysis] | 2020-12-06 12:54:07 |233
[INFO user_analysis] | 2020-12-06 12:57:43 |234
[INFO user_analysis] | 2020-12-06 13:39:42 |235
[INFO user_analysis] | 2020-12-06 13:43:45 |236
[INFO user_analysis] | 2020-12-06 13:48:05 |237
[INFO user_analysis] | 2020-12-06 13:50:59 |238
[INFO user_analysis] | 2020-12-06 13:52:59 |239
[INFO user_analysis] | 2020-12-06 13:56:19 |240
